_id,name,ticker,profession_class,expansion,asset_class[0],asset_class[1],asset_class[2],asset_class[3]
161131,,,,,VENDOR,,,
83092,,,,,VENDOR,,,
65892,,,,,VENDOR,,,
80433,,,,,VENDOR,,,
49908,,,,,VENDOR,,,
43102,,,,,VENDOR,,,
30183,,,,,VENDOR,,,
23572,,,,,VENDOR,,,
136638,,,,,VENDOR,,,
62323,,,,,VENDOR,,,
136636,,,,,VENDOR,,,
40533,,,,,VENDOR,,,
124436,,,,,VENDOR,,,
74845,,,,,VENDOR,,,
38426,,,,,VENDOR,,,
18567,,,,,VENDOR,,,
74659,,,,,VENDOR,,,
85585,,,,,VENDOR,,,
160399,,,,,VENDOR,,,
160400,,,,,VENDOR,,,
160710,,,,,VENDOR,,,
160398,,,,,VENDOR,,,
160712,,,,,VENDOR,,,
160709,,,,,VENDOR,,,
133591,,,,,VENDOR,,,
136633,,,,,VENDOR,,,
133589,,,,,VENDOR,,,
133592,,,,,VENDOR,,,
133593,,,,,VENDOR,,,
133588,,,,,VENDOR,,,
133590,,,,,VENDOR,,,
90146,,,,,VENDOR,,,
85584,,,,,VENDOR,,,
74852,,,,,VENDOR,,,
74660,,,,,VENDOR,,,
52188,,,,,VENDOR,,,
74851,,,,,VENDOR,,,
85583,,,,,VENDOR,,,
74832,,,,,VENDOR,,,
160502,,,,,VENDOR,,,
136637,,,,,VENDOR,,,
39684,,,,,VENDOR,,,
14256,,,,,VENDOR,,,
74854,,,,,VENDOR,,,
159959,,,,,VENDOR,,,
23783,,,,,VENDOR,,,
127037,,,,,VENDOR,,,
127681,,,,,VENDOR,,,
14341,,,,,VENDOR,,,
102540,,,,,VENDOR,,,
102539,,,,,VENDOR,,,
160298,,,,,VENDOR,,,
10290,,,,,VENDOR,,,
4382,,,,,VENDOR,,,
8343,,,,,VENDOR,,,
4400,,,,,VENDOR,,,
10647,,,,,VENDOR,,,
3466,,,,,VENDOR,,,
158205,,,,,VENDOR,,,
2325,,,,,VENDOR,,,
6261,,,,,VENDOR,,,
4234,,,,,VENDOR,,,
3857,,,,,VENDOR,,,
4232,,,,,VENDOR,,,
4291,,,,,VENDOR,,,
4341,,,,,VENDOR,,,
12037,,,,,VENDOR,,,
4340,,,,,VENDOR,,,
158186,,,,,VENDOR,,,
160059,,,,,VENDOR,,,
3355,,,,,VENDOR,,,
4399,,,,,VENDOR,,,
2996,,,,,VENDOR,,,
3371,,,,,VENDOR,,,
163569,,,,,VENDOR,,,
2453,,,,,VENDOR,,,
2605,,,,,VENDOR,,,
2321,,,,,VENDOR,,,
2880,,,,,VENDOR,,,
160705,,,,,VENDOR,,,
4289,,,,,VENDOR,,,
2604,,,,,VENDOR,,,
6260,,,,,VENDOR,,,
30817,,,,,VENDOR,,,
2324,,,,,VENDOR,,,
44853,,,,,VENDOR,,,
39354,,,,,VENDOR,,,
2320,,,,,VENDOR,,,
2678,,,,,VENDOR,,,
17194,,,,,VENDOR,,,
44835,,,,,VENDOR,,,
5051,,,,,VENDOR,,,
65893,,,,,VENDOR,,,
44501,,,,,VENDOR,,,
44500,,,,,VENDOR,,,
44499,,,,,VENDOR,,,
163203,,,,,VENDOR,,,
11291,,,,,VENDOR,,,
4470,,,,,VENDOR,,,
